training_loss;validation_loss;validation_accuracy;epoch_time
0,899067;0,904045;0,757500;22,926444
0,681117;0,871378;0,756000;22,701969
0,656994;0,878202;0,758000;21,802989
0,643698;0,871816;0,762000;20,123575
0,652070;0,858829;0,767500;16,201601
0,643121;0,861289;0,766000;15,840363
0,641621;0,865577;0,768000;16,091508
0,648583;0,869730;0,763000;16,256454
0,653662;0,866314;0,766500;17,231850
0,644272;0,852897;0,764000;17,296802
0,662891;0,855580;0,766000;17,762597
0,649932;0,853340;0,768500;17,870173
0,643130;0,866058;0,762500;18,512486
0,631402;0,865647;0,760000;18,080643
0,650097;0,862281;0,766500;18,523366
0,651002;0,849625;0,770000;18,385678
0,642372;0,856958;0,764500;17,770420
0,634424;0,861270;0,760000;17,886115
0,659123;0,849451;0,769000;17,989846
0,642748;0,850734;0,764000;17,997571
0,655594;0,872852;0,756500;19,083922
0,645881;0,859206;0,761000;19,894260
0,654610;0,852845;0,765500;19,225691
0,644996;0,846161;0,769500;18,461037
0,644496;0,861996;0,762000;18,741344
0,639882;0,858894;0,765000;18,964968
0,645431;0,867056;0,762000;17,853520
0,646826;0,856844;0,760000;18,650663
0,640492;0,876263;0,744500;18,374161
0,608916;0,852176;0,761000;18,526598
0,638510;0,855655;0,765500;18,941998
0,632159;0,852855;0,759000;17,847039
0,646884;0,861552;0,759000;17,477447
0,638674;0,860875;0,767000;17,595609
0,656099;0,852448;0,765000;17,302942
0,634951;0,854162;0,770000;17,389119
0,647332;0,849998;0,762000;17,711089
0,639475;0,855334;0,766000;19,468451
0,634669;0,852967;0,765500;18,193146
0,655512;0,846140;0,769000;18,840202
0,635358;0,846016;0,770000;18,467043
0,636882;0,851794;0,768000;18,535404
0,652389;0,849173;0,765000;18,423625
0,655788;0,851725;0,765500;18,783373
0,627144;0,853082;0,758500;18,883153
0,635606;0,857511;0,767000;19,053536
0,642347;0,853223;0,764500;19,027054
0,638554;0,848437;0,771000;18,021682
0,638049;0,855634;0,765500;18,083669
0,648061;0,855887;0,760500;18,368534
0,633340;0,849465;0,764500;17,717943
0,649877;0,862942;0,761000;18,170701
0,641311;0,861260;0,761500;18,561380
0,638273;0,858599;0,765000;18,938565
0,651490;0,842914;0,769000;18,691847
0,636657;0,848527;0,768500;17,747862
0,645966;0,848210;0,763000;17,414475
0,639209;0,847762;0,765000;17,591294
0,648182;0,851072;0,763500;18,381509
0,637214;0,853951;0,765000;19,191403
0,624806;0,850052;0,767500;18,946354
0,637603;0,850716;0,769500;19,313856
0,644511;0,847246;0,766500;20,188609
0,630723;0,859741;0,763500;18,729509
0,638834;0,850296;0,769000;18,336194
0,611430;0,846072;0,772000;18,929554
0,614076;0,858006;0,763500;20,270945
0,626361;0,859858;0,764500;18,626897
0,633069;0,844878;0,763500;18,599386
0,641893;0,855849;0,763500;18,758249
0,624686;0,863727;0,749500;19,082902
0,640796;0,846633;0,772500;18,829585
0,645561;0,863047;0,758000;18,268994
0,631961;0,848234;0,763000;18,873073
0,625678;0,861519;0,756500;19,092233
0,633573;0,845640;0,767500;18,784032
0,627993;0,843090;0,763500;19,715529
0,657057;0,848709;0,763000;19,004147
0,617832;0,860371;0,752500;19,062650
0,640798;0,844590;0,767000;18,258341
0,632701;0,843932;0,764500;19,261084
0,641156;0,846832;0,767000;19,144382
0,626132;0,844746;0,769000;19,751011
0,626534;0,846065;0,768000;20,102740
0,647946;0,847462;0,766500;18,198162
0,624102;0,857406;0,761500;17,609169
0,640305;0,850899;0,761000;17,617721
0,639392;0,845282;0,766500;17,598058
0,640733;0,853664;0,760500;17,377853
0,637442;0,848030;0,764500;17,498294
0,630750;0,850171;0,766500;17,124038
0,644199;0,860154;0,765500;17,326841
0,641770;0,857239;0,762000;17,394066
0,637920;0,866108;0,757500;18,195378
0,632729;0,844366;0,768000;18,644720
0,634677;0,838173;0,770000;18,748767
0,618159;0,848409;0,762000;18,516395
0,625224;0,863947;0,765500;17,982117
0,626612;0,855851;0,766000;17,866461
0,639628;0,867283;0,756000;17,953685
